"CAESAR II 2018  Ver.10.00.00.7700,  (Build 170726)   Date: NOV 16, 2024   Time: 16:18",,,,,,,,,,
Job Name: TB_LB_09_BFP_SUCTION_LINE,,,,,,,,,,
Licensed To: SPLM: Aceplant Co.Ltd,,,,,,,,,,
RESTRAINT SUMMARY EXTENDED REPORT: Loads On Restraints,,,,,,,,,,
Various Load Cases,,,,,,,,,,
,,,,,,,,,,
Node,Load Case,FX N. ,FY N. ,FZ N. ,MX N.m.  ,MY N.m.  ,MZ N.m.  ,DX mm.,DY mm.,DZ mm.
 ,,,,,,,,,,
LOAD CASE DEFINITION KEY,,,,,,,,,,
,,,,,,,,,,
CASE 4 (HYD) WW+HP+H,,,,,,,,,,
CASE 5 (SUS) W+P1+H,,,,,,,,,,
CASE 6 (OPE) W+D1+T1+P1+H,,,,,,,,,,
CASE 7 (OPE) W+D2+T2+P1+H,,,,,,,,,,
CASE 8 (OPE) W+D1+T1+P1+H+U1,,,,,,,,,,
CASE 9 (OPE) W+D1+T1+P1+H-U1,,,,,,,,,,
CASE 10 (OPE) W+D1+T1+P1+H+U2,,,,,,,,,,
CASE 11 (OPE) W+D1+T1+P1+H-U2,,,,,,,,,,
CASE 12 (OPE) W+D1+T1+P1+H+U3,,,,,,,,,,
CASE 13 (OPE) W+D1+T1+P1+H-U3,,,,,,,,,,
CASE 14 (OPE) W+D1+T1+P1+H+WIN1,,,,,,,,,,
CASE 15 (OPE) W+D1+T1+P1+H+WIN2,,,,,,,,,,
CASE 16 (OPE) W+D1+T1+P1+H+WIN3,,,,,,,,,,
CASE 17 (OPE) W+D1+T1+P1+H+WIN4,,,,,,,,,,
,  9(OPE),-169,-749,0,0,0,0,-3,-8,-30.47
, 10(OPE),221,0,0,0,0,0,3,-7.678,-30.314
, 11(OPE),3250,-1261,0,0,0,0,3,-8,-30.931
, 12(OPE),1961,0,0,0,0,0,3,-7.665,-30.472
, 13(OPE),1708,0,0,0,0,0,3,-6.541,-30.53
, 14(OPE),4541,0,0,0,0,0,3,-6.58,-30.496
, 15(OPE),0,-660,0,0,0,0,-1.757,-8,-30.473
, 16(OPE),1144,0,0,0,0,0,3,-6.943,-30.362
, 17(OPE),2882,-2428,0,0,0,0,3,-8,-30.9
, 18(OCC),3564,0,0,0,0,0,0,0.02,0.001
, 19(OCC),-2004,-749,0,0,0,0,-6,-0.897,0.031
, 20(OCC),-1614,0,0,0,0,0,0,-0.575,0.187
, 21(OCC),1415,-1261,0,0,0,0,0,-0.897,-0.431
, 22(OCC),126,0,0,0,0,0,0,-0.562,0.029
, 23(OCC),-126,0,0,0,0,0,0,0.562,-0.029
, 24(OCC),2706,0,0,0,0,0,0,0.523,0.005
, 25(OCC),-1835,-660,0,0,0,0,-4.757,-0.897,0.028
, 26(OCC),-691,0,0,0,0,0,0,0.16,0.139
, 27(OCC),1047,-2428,0,0,0,0,0,-0.897,-0.399
, 28(OCC),3564,0,0,0,0,0,-0.58,-0.444,-0.083
, 29(OCC),-2004,-749,0,0,0,0,-6.58,-1.361,-0.053
, 30(OCC),-1614,0,0,0,0,0,-0.58,-1.039,0.103
, 31(OCC),1415,-1261,0,0,0,0,-0.58,-1.361,-0.514
, 32(OCC),126,0,0,0,0,0,-0.58,-1.025,-0.055
, 33(OCC),-126,0,0,0,0,0,-0.58,0.098,-0.113
, 34(OCC),2706,0,0,0,0,0,-0.58,0.059,-0.078
, 35(OCC),-1835,-660,0,0,0,0,-5.337,-1.361,-0.055
, 36(OCC),-691,0,0,0,0,0,-0.58,-0.304,0.055
, 37(OCC),1047,-2428,0,0,0,0,-0.58,-1.361,-0.483
, 38(EXP),1835,0,0,0,0,0,3.58,-6.639,-30.417
, 39(EXP),2758,-1114,0,0,0,0,3.58,-7.536,-38.14
, 40(OCC),3564,0,0,0,0,0,-0.58,0.098,0.103
, 41(OCC),-2004,-2428,0,0,0,0,-6.58,-1.361,-0.514
,    MAX ,     5399/L8,    -2428/L17,,,,,   -6.580/L29,   -8.000/L7,  -38.224/L7
,,,,,,,,,,
130,,TYPE=Prog Design  VSH; Rigid Y;,,,,,,,,
,  4(HYD),0,22,-8444,0,0,0,-0.273,0,0
,  5(SUS),0,20,-7953,0,0,0,-0.299,0,0.033
,  6(OPE),0,611,-9352,0,0,0,7.887,0,-35.484
,  7(OPE),0,1457,-9742,0,0,0,9.66,0,-45.383
,  8(OPE),0,601,-9347,0,0,0,8.62,0,-35.362
,  9(OPE),0,1248,-9419,0,0,0,4.868,0,-37.195
, 10(OPE),0,5294,-9343,0,0,0,7.524,0,-35.256
, 11(OPE),0,-3882,-9340,0,0,0,8.283,0,-35.166
, 12(OPE),0,671,-9325,0,0,0,8.068,0,-34.799
, 13(OPE),0,550,-9379,0,0,0,7.707,0,-36.17
, 14(OPE),0,553,-9377,0,0,0,7.864,0,-36.128
, 15(OPE),0,1218,-9381,0,0,0,6.193,0,-36.212
, 16(OPE),0,4216,-9361,0,0,0,7.667,0,-35.703
, 17(OPE),0,-2155,-9346,0,0,0,8.094,0,-35.332
, 18(OCC),0,-9,5,0,0,0,0.733,0,0.122
, 19(OCC),0,638,-67,0,0,0,-3.019,0,-1.711
